"area","d21","d22","d23","d24","d25","d26","d27","d28","d29","d210","d211","d41","d42","d43","d5","d6","d7","d8","d9","min_station","min_park","aread21","aread22","aread23","aread24","aread25","aread26","aread27","aread28","aread29","aread210","aread211","d41d21","d41d22","d41d23","d41d24","d41d25","d41d26","d41d27","d41d28","d41d29","d41d210","d41d211","d42d21","d42d22","d42d23","d42d24","d42d25","d42d26","d42d27","d42d28","d42d29","d42d210","d42d211","d43d21","d43d22","d43d23","d43d24","d43d25","d43d26","d43d27","d43d28","d43d29","d43d210","d43d211","area_square","area2d21","area2d22","area2d23","area2d24","area2d25","area2d26","area2d27","area2d28","area2d29","area2d210","area2d211"
"37",6.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,290.864663802043,225.30814802698,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.25,0,0,0,0,0,0,42.25,0,0,0,0
"38",37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,317.939441447425,68.6354034881492,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,0,0,0,1369,0,0
"39",10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,378.68808674986,120.773180298002,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
"40",40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,350.970711851424,92.132767239261,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,1600,0,0,0,0,0,0,0
"41",7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,461.370601185698,261.899499778068,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,49,0,0,0,0,0,0,0,0
"42",7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,573.22919043582,199.34926103228,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,49,0,0,0,0,0,0,0,0
"43",12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,325.841095546856,278.466756222684,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,144,0,0,0,0,0,0,0,0,0
"44",62.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1162.795419631,414.514162734087,0,0,0,0,0,0,0,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3956.41,0,0,0,0,0,0,0,3956.41,0,0,0
"45",7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,164.367076244592,167.882212981476,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,49,0,0,0,0,0,0,0
"46",11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1376.84389638046,246.926541055827,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,121,0,0,0,0,0,0
